,0,1,2,3,4,5,6,7,8,9,word
0,"('lazy', 0.9920282959938049)","('laziness', 0.5956293940544128)","('slothful', 0.5910481810569763)","('layabouts', 0.5907058715820312)","('slackers', 0.5807310342788696)","('lazy_unmotivated', 0.5708534121513367)","('lazy_bums', 0.5666670799255371)","('stupid', 0.557861864566803)","('dopey', 0.5575557947158813)","('uncreative', 0.5538029670715332)",lazy
0,"('gourmand', 0.9923093318939209)","('gastronome', 0.7297216653823853)","('epicure', 0.7217459678649902)","('foodie', 0.6535352468490601)","('Michel_Bras', 0.6215020418167114)","('gastronomes', 0.6204589009284973)","('gourmands', 0.6188554763793945)","('epicurean', 0.6093937754631042)","('Brillat_Savarin', 0.6083532571792603)","('epicures', 0.5913160443305969)",gourmand
0,"('epicure', 0.9923253059387207)","('gourmand', 0.7205876111984253)","('gastronome', 0.691360592842102)","('Michel_Bras', 0.6282843351364136)","('Brillat_Savarin', 0.624239444732666)","('Jeffrey_Steingarten', 0.6204911470413208)","('epicures', 0.6171637773513794)","('epicureans', 0.6133041381835938)","('nouveau_cuisine', 0.6087873578071594)","('Parisian_bistro', 0.6069377660751343)",epicure
0,"('thrifty', 0.9920332431793213)","('frugal', 0.8030922412872314)","('frugality', 0.6091207265853882)","('penny_pinching', 0.5891814231872559)","('thriftier', 0.5802392959594727)","('Frugal', 0.5750960111618042)","('penny_pinchers', 0.565546452999115)","('spendthrift', 0.5453225374221802)","('frugally', 0.5395302772521973)","('thriftiness', 0.5310499668121338)",thrifty
0,"('tight', 0.9920996427536011)","('Tight', 0.7620136141777039)","('tighter', 0.5800463557243347)","('tightest', 0.5793082118034363)","('tightened', 0.5019046068191528)","('LIMITED_TE', 0.5005929470062256)","('Rob_Abiamiri', 0.4722929000854492)","('tightening', 0.46854037046432495)","('Brandyn_McCall', 0.46717384457588196)","('tightly', 0.46522390842437744)",tight
0,"('thrifty', 0.9920332431793213)","('frugal', 0.8030922412872314)","('frugality', 0.6091207265853882)","('penny_pinching', 0.5891814231872559)","('thriftier', 0.5802392959594727)","('Frugal', 0.5750960111618042)","('penny_pinchers', 0.565546452999115)","('spendthrift', 0.5453225374221802)","('frugally', 0.5395302772521973)","('thriftiness', 0.5310499668121338)",thrifty
0,"('forehanded', 0.9921403527259827)","('topspin_lob', 0.622042179107666)","('forehand_deke', 0.6199002265930176)","('sliced_backhand', 0.6007862687110901)","('angled_forehand', 0.600383996963501)","('Vokoun_glove', 0.589462399482727)","('Niittymaki_glove', 0.5874924659729004)","('flicked_backhand', 0.5841609239578247)","('deft_volleys', 0.5833276510238647)","('Lidstrom_slap', 0.5827767848968506)",forehanded
0,"('forehanded', 0.9921403527259827)","('topspin_lob', 0.622042179107666)","('forehand_deke', 0.6199002265930176)","('sliced_backhand', 0.6007862687110901)","('angled_forehand', 0.600383996963501)","('Vokoun_glove', 0.589462399482727)","('Niittymaki_glove', 0.5874924659729004)","('flicked_backhand', 0.5841609239578247)","('deft_volleys', 0.5833276510238647)","('Lidstrom_slap', 0.5827767848968506)",forehanded
0,"('stickler', 0.9920400381088257)","(""I'ma_stickler"", 0.6052963733673096)","('perfectionist', 0.5906877517700195)","('sticklers', 0.5837093591690063)","('fastidious', 0.5516473054885864)","('punctilious', 0.5317082405090332)","('taskmaster', 0.5262377262115479)","('meticulous', 0.5223560333251953)","('disciplinarian', 0.47762781381607056)","('meticulousness', 0.4595191478729248)",stickler
0,"('perfectionist', 0.992161750793457)","('perfectionism', 0.6786555051803589)","('taskmaster', 0.6257007122039795)","('perfectionists', 0.6245766282081604)","('workaholic', 0.6034079790115356)","(""I'ma_perfectionist"", 0.5796031951904297)","('micromanager', 0.5684866309165955)","('stickler', 0.5571686029434204)","('introvert', 0.5529904365539551)","('nitpicker', 0.5508084297180176)",perfectionist
0,"('perfectionist', 0.992161750793457)","('perfectionism', 0.6786555051803589)","('taskmaster', 0.6257007122039795)","('perfectionists', 0.6245766282081604)","('workaholic', 0.6034079790115356)","(""I'ma_perfectionist"", 0.5796031951904297)","('micromanager', 0.5684866309165955)","('stickler', 0.5571686029434204)","('introvert', 0.5529904365539551)","('nitpicker', 0.5508084297180176)",perfectionist
0,"('disciplinarian', 0.9922456741333008)","('strict_disciplinarian', 0.6796602010726929)","('taskmaster', 0.6571840047836304)","('stern_disciplinarian', 0.643402636051178)","('disciplinarians', 0.5884207487106323)","('nonsense_disciplinarian', 0.5745344758033752)","('martinet', 0.5710725784301758)","('Sister_Aloysius_Meryl_Streep', 0.5070365071296692)","('enforcer', 0.50046306848526)","('strong_willed', 0.49743765592575073)",disciplinarian
0,"('eye', 0.9921199083328247)","('eyes', 0.6477220058441162)","('Eye', 0.5907577276229858)","('eyelid', 0.5173026323318481)","('eyeball', 0.493058443069458)","('beady_eye', 0.49103111028671265)","('ear', 0.4896746575832367)","('beady', 0.4608204960823059)","('Morgan_Tsvangirai_ur', 0.4589965045452118)","('Obagi_ELASTIderm_TM', 0.4549886882305145)",eye
0,"('ogle', 0.9922529458999634)","('ogling', 0.6654545068740845)","('gawk', 0.6452764868736267)","('gawp', 0.6350204944610596)","('ogled', 0.5742043852806091)","('gape', 0.5639454126358032)","('leering', 0.5552569031715393)","('cavort', 0.5506862998008728)","('gawking', 0.5506143569946289)","('leer', 0.5313048362731934)",ogle
0,"('eye', 0.9921199083328247)","('eyes', 0.6477220058441162)","('Eye', 0.5907577276229858)","('eyelid', 0.5173026323318481)","('eyeball', 0.493058443069458)","('beady_eye', 0.49103111028671265)","('ear', 0.4896746575832367)","('beady', 0.4608204960823059)","('Morgan_Tsvangirai_ur', 0.4589965045452118)","('Obagi_ELASTIderm_TM', 0.4549886882305145)",eye
0,"('observe', 0.9921376705169678)","('observing', 0.7470346689224243)","('observed', 0.5969679951667786)","('Observing', 0.48754221200942993)","('observance', 0.47283628582954407)","('interpret', 0.46458670496940613)","('Observe', 0.4642200469970703)","('monitor', 0.46395793557167053)","('examine', 0.45516932010650635)","('adhere', 0.45145493745803833)",observe
0,"('charm', 0.9920924305915833)","('charms', 0.6729543805122375)","('charming', 0.6000619530677795)","('self_deprecating_charm', 0.591296911239624)","('quirkiness', 0.5823743343353271)","('charisma', 0.5647660493850708)","('irresistible_charm', 0.562381386756897)","('boyish_charm', 0.5620741844177246)","('affability', 0.5587204694747925)","('gentility', 0.5577669143676758)",charm
0,"('seduce', 0.9929177761077881)","('seducing', 0.6690777540206909)","('seduction', 0.6578566431999207)","('deflower', 0.6266887187957764)","('seduces', 0.6248860359191895)","('seduced', 0.5994841456413269)","('beguile', 0.5979847311973572)","('inveigle', 0.5979359149932861)","('ravish', 0.5856006145477295)","('feminine_wiles', 0.5799301862716675)",seduce
0,"('harass', 0.9922665357589722)","('harrass', 0.7392972111701965)","('intimidate', 0.6975656151771545)","('harassing', 0.6321283578872681)","('terrorize', 0.6198056936264038)","('intimidate_harass', 0.6157636046409607)","('humiliate', 0.5872209072113037)","('sexually_harass', 0.5756587982177734)","('victimize', 0.5743206143379211)","('harassed', 0.5690569877624512)",harass
0,"('seduce', 0.9929177761077881)","('seducing', 0.6690777540206909)","('seduction', 0.6578566431999207)","('deflower', 0.6266887187957764)","('seduces', 0.6248860359191895)","('seduced', 0.5994841456413269)","('beguile', 0.5979847311973572)","('inveigle', 0.5979359149932861)","('ravish', 0.5856006145477295)","('feminine_wiles', 0.5799301862716675)",seduce
0,"('overstate', 0.9920633435249329)","('understate', 0.7590192556381226)","('overestimate', 0.6961910724639893)","('exaggerate', 0.6666719913482666)","('overstating', 0.6558884382247925)","('underestimate', 0.6489638090133667)","('overstated', 0.64522784948349)","('understating', 0.631779670715332)","('underplay', 0.6116563081741333)","('overemphasize', 0.5968773365020752)",overstate
0,"('enhance', 0.9920334219932556)","('enhancing', 0.7895057201385498)","('strengthen', 0.7293815612792969)","('improve', 0.7250767946243286)","('enhances', 0.6950175762176514)","('enhanced', 0.6898704171180725)","('augment', 0.6802088618278503)","('maximize', 0.6267196536064148)","('enrich', 0.6152834892272949)","('optimize', 0.6141787171363831)",enhance
0,"('elaborate', 0.9922239780426025)","('specify', 0.5589555501937866)","('divulge', 0.5474900007247925)","('divulge_specifics', 0.5260045528411865)","('specifics', 0.5232763290405273)","('intricate', 0.5164250135421753)","('elaborately', 0.4766422212123871)","('elaborating', 0.4726715683937073)","('reveal', 0.4639211893081665)","('disclose', 0.44866040349006653)",elaborate
0,"('elaborate', 0.9922239780426025)","('specify', 0.5589555501937866)","('divulge', 0.5474900007247925)","('divulge_specifics', 0.5260045528411865)","('specifics', 0.5232763290405273)","('intricate', 0.5164250135421753)","('elaborately', 0.4766422212123871)","('elaborating', 0.4726715683937073)","('reveal', 0.4639211893081665)","('disclose', 0.44866040349006653)",elaborate
0,"('enhance', 0.9920334219932556)","('enhancing', 0.7895057201385498)","('strengthen', 0.7293815612792969)","('improve', 0.7250767946243286)","('enhances', 0.6950175762176514)","('enhanced', 0.6898704171180725)","('augment', 0.6802088618278503)","('maximize', 0.6267196536064148)","('enrich', 0.6152834892272949)","('optimize', 0.6141787171363831)",enhance
0,"('liberated', 0.9923363924026489)","('liberate', 0.689570426940918)","('liberating', 0.6744347810745239)","('liberation', 0.6345120668411255)","('emancipated', 0.5381151437759399)","('conquered', 0.5360112190246582)","('subjugated', 0.52677321434021)","('Liberated', 0.5203644037246704)","('Belsen_concentration_camp', 0.5084624290466309)","('emancipate', 0.4989665746688843)",liberated
0,"('individualistic', 0.9924675226211548)","('individualist', 0.6597492694854736)","('individualism', 0.6567427515983582)","('conformist', 0.6040633320808411)","('antipathetic', 0.5694450736045837)","('egalitarian', 0.569312572479248)","('dogmatic', 0.5665987133979797)","('idiosyncratic', 0.5602531433105469)","('materialistic', 0.5551615953445435)","('collectivistic', 0.5506058931350708)",individualistic
0,"('liberated', 0.9923363924026489)","('liberate', 0.689570426940918)","('liberating', 0.6744347810745239)","('liberation', 0.6345120668411255)","('emancipated', 0.5381151437759399)","('conquered', 0.5360112190246582)","('subjugated', 0.52677321434021)","('Liberated', 0.5203644037246704)","('Belsen_concentration_camp', 0.5084624290466309)","('emancipate', 0.4989665746688843)",liberated
0,"('individualistic', 0.9924675226211548)","('individualist', 0.6597492694854736)","('individualism', 0.6567427515983582)","('conformist', 0.6040633320808411)","('antipathetic', 0.5694450736045837)","('egalitarian', 0.569312572479248)","('dogmatic', 0.5665987133979797)","('idiosyncratic', 0.5602531433105469)","('materialistic', 0.5551615953445435)","('collectivistic', 0.5506058931350708)",individualistic
0,"('strange', 0.9920331239700317)","('weird', 0.8060984015464783)","('peculiar', 0.7592350244522095)","('bizarre', 0.7445669174194336)","('odd', 0.7118149995803833)","('surreal', 0.6555633544921875)","('disconcerting', 0.6234961152076721)","('freaky', 0.621556282043457)","('unusual', 0.6138030290603638)","('mysterious', 0.6120700836181641)",strange
0,"('eccentric', 0.9924716949462891)","('idiosyncratic', 0.6813517212867737)","('oddball', 0.6794792413711548)","('eccentrics', 0.6399037837982178)","('kooky', 0.6279131174087524)","('quirky', 0.6199167966842651)","('irascible', 0.6071252226829529)","('zany', 0.6035566329956055)","('flamboyant', 0.6004927754402161)","('eccentricity', 0.5996663570404053)",eccentric
0,"('strange', 0.9920331239700317)","('weird', 0.8060984015464783)","('peculiar', 0.7592350244522095)","('bizarre', 0.7445669174194336)","('odd', 0.7118149995803833)","('surreal', 0.6555633544921875)","('disconcerting', 0.6234961152076721)","('freaky', 0.621556282043457)","('unusual', 0.6138030290603638)","('mysterious', 0.6120700836181641)",strange
0,"('eccentric', 0.9924716949462891)","('idiosyncratic', 0.6813517212867737)","('oddball', 0.6794792413711548)","('eccentrics', 0.6399037837982178)","('kooky', 0.6279131174087524)","('quirky', 0.6199167966842651)","('irascible', 0.6071252226829529)","('zany', 0.6035566329956055)","('flamboyant', 0.6004927754402161)","('eccentricity', 0.5996663570404053)",eccentric
0,"('strange', 0.9920331239700317)","('weird', 0.8060984015464783)","('peculiar', 0.7592350244522095)","('bizarre', 0.7445669174194336)","('odd', 0.7118149995803833)","('surreal', 0.6555633544921875)","('disconcerting', 0.6234961152076721)","('freaky', 0.621556282043457)","('unusual', 0.6138030290603638)","('mysterious', 0.6120700836181641)",strange
0,"('liberated', 0.9923363924026489)","('liberate', 0.689570426940918)","('liberating', 0.6744347810745239)","('liberation', 0.6345120668411255)","('emancipated', 0.5381151437759399)","('conquered', 0.5360112190246582)","('subjugated', 0.52677321434021)","('Liberated', 0.5203644037246704)","('Belsen_concentration_camp', 0.5084624290466309)","('emancipate', 0.4989665746688843)",liberated
0,"('individualistic', 0.9924675226211548)","('individualist', 0.6597492694854736)","('individualism', 0.6567427515983582)","('conformist', 0.6040633320808411)","('antipathetic', 0.5694450736045837)","('egalitarian', 0.569312572479248)","('dogmatic', 0.5665987133979797)","('idiosyncratic', 0.5602531433105469)","('materialistic', 0.5551615953445435)","('collectivistic', 0.5506058931350708)",individualistic
0,"('liberated', 0.9923363924026489)","('liberate', 0.689570426940918)","('liberating', 0.6744347810745239)","('liberation', 0.6345120668411255)","('emancipated', 0.5381151437759399)","('conquered', 0.5360112190246582)","('subjugated', 0.52677321434021)","('Liberated', 0.5203644037246704)","('Belsen_concentration_camp', 0.5084624290466309)","('emancipate', 0.4989665746688843)",liberated
0,"('individualistic', 0.9924675226211548)","('individualist', 0.6597492694854736)","('individualism', 0.6567427515983582)","('conformist', 0.6040633320808411)","('antipathetic', 0.5694450736045837)","('egalitarian', 0.569312572479248)","('dogmatic', 0.5665987133979797)","('idiosyncratic', 0.5602531433105469)","('materialistic', 0.5551615953445435)","('collectivistic', 0.5506058931350708)",individualistic
0,"('liberated', 0.9923363924026489)","('liberate', 0.689570426940918)","('liberating', 0.6744347810745239)","('liberation', 0.6345120668411255)","('emancipated', 0.5381151437759399)","('conquered', 0.5360112190246582)","('subjugated', 0.52677321434021)","('Liberated', 0.5203644037246704)","('Belsen_concentration_camp', 0.5084624290466309)","('emancipate', 0.4989665746688843)",liberated
0,"('individualistic', 0.9924675226211548)","('individualist', 0.6597492694854736)","('individualism', 0.6567427515983582)","('conformist', 0.6040633320808411)","('antipathetic', 0.5694450736045837)","('egalitarian', 0.569312572479248)","('dogmatic', 0.5665987133979797)","('idiosyncratic', 0.5602531433105469)","('materialistic', 0.5551615953445435)","('collectivistic', 0.5506058931350708)",individualistic
0,"('question', 0.9921257495880127)","('questions', 0.7507460713386536)","('unasked_question', 0.6701158285140991)","('unanswerable_question', 0.6320767402648926)","('quesiton', 0.6269963383674622)","('quesion', 0.5991935133934021)","('Questions', 0.5847492814064026)","('answer', 0.5833022594451904)","('queston', 0.5698092579841614)","('conundrum', 0.5684609413146973)",question
0,"('probe', 0.9923581480979919)","('probes', 0.8019828796386719)","('investigation', 0.7885833978652954)","('inquiry', 0.742379903793335)","('investigations', 0.7353219985961914)","('Probe', 0.7045443058013916)","('probing', 0.6175930500030518)","('probed', 0.5830204486846924)","('Investigations', 0.5654649138450623)","('investigate', 0.5589040517807007)",probe
0,"('question', 0.9921257495880127)","('questions', 0.7507460713386536)","('unasked_question', 0.6701158285140991)","('unanswerable_question', 0.6320767402648926)","('quesiton', 0.6269963383674622)","('quesion', 0.5991935133934021)","('Questions', 0.5847492814064026)","('answer', 0.5833022594451904)","('queston', 0.5698092579841614)","('conundrum', 0.5684609413146973)",question
0,"('undocumented', 0.992267370223999)","('undocumented_immigrants', 0.7960703372955322)","('undocumented_immigrant', 0.7560957670211792)","('undocumented_aliens', 0.7480263710021973)","('illegal_immigrants', 0.7391567230224609)","('illegal_aliens', 0.7360907793045044)","('illegal_alien', 0.7309443950653076)","('undocumented_workers', 0.7293747663497925)","('illegal_immigrant', 0.7186006903648376)","('illegals', 0.7001762986183167)",undocumented
0,"('catch', 0.9920328855514526)","('catching', 0.709862232208252)","('caught', 0.647591769695282)","('catches', 0.5822250843048096)","('Catching', 0.5755172967910767)","('nab', 0.5203049182891846)","('Catch', 0.5110263824462891)","('snare', 0.48388320207595825)","('catchable', 0.4610534906387329)","('grab', 0.457017719745636)",catch
0,"('arrest', 0.9922723770141602)","('arrests', 0.685713529586792)","('arrested', 0.6551250219345093)","('arrrest', 0.6437492966651917)","('rearrest', 0.6074283123016357)","('arresting', 0.6005984544754028)","('apprehended', 0.5929881930351257)","('arrest_warrant', 0.5836452841758728)","('detained', 0.5836357474327087)","('rearrested', 0.559958815574646)",arrest
0,"('duplicity', 0.9932758808135986)","('hypocrisy', 0.6913199424743652)","('mendacity', 0.6686737537384033)","('perfidy', 0.6673555374145508)","('deceit', 0.6555992364883423)","('venality', 0.6431216597557068)","('treachery', 0.6345599889755249)","('deceptions', 0.6287872791290283)","('deviousness', 0.6225216388702393)","('insincerity', 0.6215707063674927)",duplicity
0,"('insincerity', 0.9924591779708862)","('duplicity', 0.6561118364334106)","('hypocrisy', 0.6320631504058838)","('unseriousness', 0.6193506717681885)","('disingenuousness', 0.6002253293991089)","('arrogance', 0.5936716794967651)","('sincerity', 0.5878280401229858)","('ignorance', 0.584255576133728)","('cynicism', 0.5747765302658081)","('mendacity', 0.5696907043457031)",insincerity
0,"('duplicity', 0.9932758808135986)","('hypocrisy', 0.6913199424743652)","('mendacity', 0.6686737537384033)","('perfidy', 0.6673555374145508)","('deceit', 0.6555992364883423)","('venality', 0.6431216597557068)","('treachery', 0.6345599889755249)","('deceptions', 0.6287872791290283)","('deviousness', 0.6225216388702393)","('insincerity', 0.6215707063674927)",duplicity
0,"('demonstration', 0.992254912853241)","('demonstrations', 0.7465490102767944)","('Demonstration', 0.6252762675285339)","('Demonstrations', 0.6157495975494385)","('demostration', 0.6014447212219238)","('demonstrator', 0.591382622718811)","('protest', 0.5748723149299622)","('demonstrating', 0.5726221203804016)","('demonstation', 0.5458614826202393)","('paperbacks_churned', 0.522323489189148)",demonstration
0,"('whistleblower', 0.9922959804534912)","('whistle_blower', 0.8787086606025696)","('whistleblowers', 0.7577376365661621)","('whistle_blowers', 0.6999706029891968)","('whisteblower', 0.6717058420181274)","('whistleblowing', 0.6580891609191895)","('Whistle_blower', 0.6540442705154419)","('whistle_blowing', 0.606965184211731)","('Whistleblower', 0.5980075001716614)","('Whistleblowers', 0.5751219987869263)",whistleblower
0,"('whistleblower', 0.9922959804534912)","('whistle_blower', 0.8787086606025696)","('whistleblowers', 0.7577376365661621)","('whistle_blowers', 0.6999706029891968)","('whisteblower', 0.6717058420181274)","('whistleblowing', 0.6580891609191895)","('Whistle_blower', 0.6540442705154419)","('whistle_blowing', 0.606965184211731)","('Whistleblower', 0.5980075001716614)","('Whistleblowers', 0.5751219987869263)",whistleblower
0,"('whistleblower', 0.9922959804534912)","('whistle_blower', 0.8787086606025696)","('whistleblowers', 0.7577376365661621)","('whistle_blowers', 0.6999706029891968)","('whisteblower', 0.6717058420181274)","('whistleblowing', 0.6580891609191895)","('Whistle_blower', 0.6540442705154419)","('whistle_blowing', 0.606965184211731)","('Whistleblower', 0.5980075001716614)","('Whistleblowers', 0.5751219987869263)",whistleblower
0,"('informer', 0.9924166202545166)","('informant', 0.7210663557052612)","('informers', 0.6925767064094543)","('informants', 0.6289607286453247)","('supergrass', 0.5991749167442322)","('fugitive_gangster', 0.591913640499115)","('FBI_informant', 0.571886420249939)","('drug_peddler', 0.5592210292816162)","('undercover_operative', 0.5531617999076843)","('IRA_informer', 0.5518558025360107)",informer
0,"('informant', 0.99228835105896)","('confidential_informant', 0.7966259717941284)","('undercover_agent', 0.7651934623718262)","('undercover_informant', 0.7571940422058105)","('FBI_informant', 0.7544136047363281)","('informants', 0.7322627305984497)","('informer', 0.7299246788024902)","('DEA_informant', 0.6419366002082825)","('undercover', 0.6370160579681396)","('undercover_FBI', 0.6328374147415161)",informant
0,"('source', 0.9921239614486694)","('sources', 0.6849485635757446)","('souce', 0.5501624345779419)","('sourse', 0.45554283261299133)","('unnamed_sources', 0.45187899470329285)","('Sources', 0.4238273501396179)","('Daybad', 0.42285192012786865)","('sourced', 0.4224594235420227)","('Marten_Mickos_CEO', 0.4075918197631836)","('conduit', 0.4015762209892273)",source
0,"('informer', 0.9924166202545166)","('informant', 0.7210663557052612)","('informers', 0.6925767064094543)","('informants', 0.6289607286453247)","('supergrass', 0.5991749167442322)","('fugitive_gangster', 0.591913640499115)","('FBI_informant', 0.571886420249939)","('drug_peddler', 0.5592210292816162)","('undercover_operative', 0.5531617999076843)","('IRA_informer', 0.5518558025360107)",informer
0,"('informant', 0.99228835105896)","('confidential_informant', 0.7966259717941284)","('undercover_agent', 0.7651934623718262)","('undercover_informant', 0.7571940422058105)","('FBI_informant', 0.7544136047363281)","('informants', 0.7322627305984497)","('informer', 0.7299246788024902)","('DEA_informant', 0.6419366002082825)","('undercover', 0.6370160579681396)","('undercover_FBI', 0.6328374147415161)",informant
0,"('source', 0.9921239614486694)","('sources', 0.6849485635757446)","('souce', 0.5501624345779419)","('sourse', 0.45554283261299133)","('unnamed_sources', 0.45187899470329285)","('Sources', 0.4238273501396179)","('Daybad', 0.42285192012786865)","('sourced', 0.4224594235420227)","('Marten_Mickos_CEO', 0.4075918197631836)","('conduit', 0.4015762209892273)",source
0,"('tipster', 0.9921568632125854)","('anonymous_tipster', 0.6372416019439697)","('tipsters', 0.6158384084701538)","('An_anonymous_tipster', 0.5862436294555664)","('Tipster', 0.5180845260620117)","('informant', 0.49583709239959717)","('Racemail_elite_stable', 0.49370428919792175)","('anonymous_tipsters', 0.48637527227401733)","('Brocchini_testified', 0.48456090688705444)","('MobileCrunch', 0.47198086977005005)",tipster
0,"('tipster', 0.9921568632125854)","('anonymous_tipster', 0.6372416019439697)","('tipsters', 0.6158384084701538)","('An_anonymous_tipster', 0.5862436294555664)","('Tipster', 0.5180845260620117)","('informant', 0.49583709239959717)","('Racemail_elite_stable', 0.49370428919792175)","('anonymous_tipsters', 0.48637527227401733)","('Brocchini_testified', 0.48456090688705444)","('MobileCrunch', 0.47198086977005005)",tipster
0,"('tipster', 0.9921568632125854)","('anonymous_tipster', 0.6372416019439697)","('tipsters', 0.6158384084701538)","('An_anonymous_tipster', 0.5862436294555664)","('Tipster', 0.5180845260620117)","('informant', 0.49583709239959717)","('Racemail_elite_stable', 0.49370428919792175)","('anonymous_tipsters', 0.48637527227401733)","('Brocchini_testified', 0.48456090688705444)","('MobileCrunch', 0.47198086977005005)",tipster
0,"('reconsidered', 0.9920295476913452)","('reconsider', 0.6852623224258423)","('reconsidering', 0.6048332452774048)","('revisited', 0.5948097705841064)","('rethought', 0.5867252945899963)","('reexamined', 0.5826340913772583)","('rescinded', 0.5553655624389648)","('reevaluated', 0.5443074703216553)","('reconsideration', 0.535388708114624)","('reassessed', 0.5323320627212524)",reconsidered
0,"('reconsidered', 0.9920295476913452)","('reconsider', 0.6852623224258423)","('reconsidering', 0.6048332452774048)","('revisited', 0.5948097705841064)","('rethought', 0.5867252945899963)","('reexamined', 0.5826340913772583)","('rescinded', 0.5553655624389648)","('reevaluated', 0.5443074703216553)","('reconsideration', 0.535388708114624)","('reassessed', 0.5323320627212524)",reconsidered
0,"('reconsidered', 0.9920295476913452)","('reconsider', 0.6852623224258423)","('reconsidering', 0.6048332452774048)","('revisited', 0.5948097705841064)","('rethought', 0.5867252945899963)","('reexamined', 0.5826340913772583)","('rescinded', 0.5553655624389648)","('reevaluated', 0.5443074703216553)","('reconsideration', 0.535388708114624)","('reassessed', 0.5323320627212524)",reconsidered
0,"('exuberant', 0.9921274781227112)","('ebullient', 0.6922562122344971)","('exuberance', 0.6406909823417664)","('exuberantly', 0.6222394108772278)","('boisterous', 0.6145695447921753)","('joyous', 0.604783296585083)","('joyful', 0.6023291945457458)","('exultant', 0.5906736850738525)","('energetic', 0.5894374847412109)","('exhuberant', 0.5877511501312256)",exuberant
0,"('talkative', 0.9920735359191895)","('chatty', 0.7196807265281677)","('gregarious', 0.7172355651855469)","('jovial', 0.6896157264709473)","('loquacious', 0.6816729307174683)","('garrulous', 0.6221838593482971)","('excitable', 0.6170555353164673)","('taciturn', 0.6135143041610718)","('voluble', 0.6002765893936157)","('personable', 0.5995636582374573)",talkative
