x1,x2,y
artistic,bohemian,1
bohemian,freak,1
artistic,freak,1
plunging,risqué,1
inelegant,risqué,1
décolleté,risqué,1
plunging,provocative,1
inelegant,provocative,1
décolleté,provocative,1
plunging,filthy,1
inelegant,filthy,1
décolleté,filthy,1
plunging,tarty,1
inelegant,tarty,1
décolleté,tarty,1
risqué,tarty,1
whimper,sob,1
snivel,sob,1
sob,blubber,1
whimper,blubber,1
snivel,blubber,1
affectionate,libidi0us,1
concerned,interfering,1
attentive,interfering,1
attentive,intrusive,1
concerned,intrusive,1
attentive,snooping,1
concerned,snooping,1
attentive,meddlesome,1
concerned,meddlesome,1
oversize,fat,1
procrastinate,stall,1
temporize,stall,1
dreamer,daydreamer,1
dreamer,fantasizer,1
theorizer,daydreamer,1
visionary,daydreamer,1
confusion,matrix,0
dreamer,stall,0
attentive,oversize,0
fat,beg,0
rightwing,probe,0
revolutionary,obstinate,0
firm,prolife,0
polite,fat,0
activist,overeater,0
economical,lazy,0
lazy,agitator,0
strange,harass,0
weird,overstate,0
arrest,lazy,0
ploite,nail,0
revolutionary,nail,0
catch,hit,0
activist,snitch,0
grab,tattletale,0
annoyed,welshed,0
exuberant,changed,0
drunk,strange,0
crowded,life,0
lively,life,0
road,street,0
city,town,0
décolleté,bohemian,0
talkative,artistic,0
freak,city,0
tarty,sob,0
filthy,dreamer,0
liberated,boring,0
firm,control,0
obstinate,artistic,0
firm ,light,0
defend,stingy,0
counterattack,intrusive,0
retaliation,snooping,0
attack,ran,0
ask,laugh,0
ask,cry,0
conservative,social,0
rightwing,social,0
demonstration,family,0
protest,video,0
demonstration,fast,0
probe,tight,0
activist,economical,0
protestor,student,0
revolutionary,student,0
disagree,observe,0
conservative,pedant,0
rightwing,white,0
progressive,white,0
activist,comic,0
protest,crowd,0
demonstration,crowd,0
prolife,undocumented,0
polite,undocumented,0
leader,person,0
dictator,human,0
dictator,man,0
leader,war,0
despot,animal,0
revolutionist,strange,0
revolutionist,tattletale,0
revolutionist,fink,0
easygoing,source,0
easygoing,informant,0
lazy,rightwing,0
epicure,rightwing,0
gourmand,rightwing,0
overeater,leftwing,0
epicure,human,0
thrifty,man,0
tight,light,0
thrifty,heavy,0
economical,doctor,0
forehanded,changed,0
economical,talkative,0
economical,sparkling,0
forehanded,charming,0
stickler,slow,0
perfectionist,chatty,0
perfectionist,,0
disciplinarian,uncontrollable,0
vindicated,fooled,0
vindicated,requested,0
cleared,whitewashed,0
eye,smile,0
ogle,smile,0
eye,cry,0
observe,laugh,0
observe ,laugh,0
charmed,sourced,0
seduce,run,0
harass,walk,0
seduce,escape,0
enhance,write,0
overstate,run,0
enhance,walk,0
elaborate,escape,0
elaborate,cry,0
enhance,work,0
liberated,flying,0
individualistic,drunk,0
liberated,pigheaded,0
individualistic,stubborn,0
liberated,recalcitrant,0
individualistic,informant,0
unconventional ,persistent,0
eccentric,theorizer,0
strange,enhance,0
weird,elaborate,0
eccentric,walk,0
strange,stubborn,0
weird,niggardly,0
eccentric,slovenly,0
strange,disordered,0
weird,relaxed,0
liberated,gourmet,0
individualistic,gourmand,0
unconventional ,gourmand,0
liberated,perfectionist,0
individualistic,prudent,0
unconventional ,stingy,0
liberated,pedant,0
individualistic,,0
unconventional ,polite,0
criticize,eye,0
criticize,falsify,0
criticize,alter,0
question,strengthen,0
probe,mesmerize,0
question,hound,0
undocumented,parsimonious,0
catch,fasify,0
arrest,rightwing,0
duplicity,disruption,0
insincerity,politeness,0
duplicity,demonstration,0
grab,overstate,0
demonstration,question,0
whistleblower,undocumented,0
whistleblower,engineer,0
whistleblower,lawyer,0
informer,critic,0
informant,lively,0
source,chaotic,0
informer,drunkard,0
informant,buzzing,0
source,control,0
tipster,admin,0
tipster,energetic,0
tipster,indignant,0
indignant,tipster,0
annoyed,insincere,0
reconsidered,fondle,0
reconsidered,chatted,0
reconsidered,laughed,0
changed,cried,0
changed,talkative,0
exuberant,concerned,0
talkative,oversize,0
exuberant,fat,0
energetic,meddlesome,0
energetic,stalling,0
sparkling,fantasizer,0
sparkling,miserly,0
exuberant,crazy,0
talkative,freak,0
energetic,intrusive,0
sparkling,intrusive,0
conversational,crazy,0
conversational,nuts,0
energetic,pleading,0
exuberant,begging,0
sparkling,conservative,0
lively,defensive,0
lively,pigheaded,0
lively,riot,0
lively,investigating,0
crowded,individualistic,0
crowded,defensive,0
crowded,pigheaded,0
buzzing,riot,0
buzzing,investigating,0
buzzing,hitting,0
buzzing,concerned,0
coat,stand,0
table,chair,0
window,blind,0
laptop,television,0
clap,talk,0
insisted,covered,0
random,choice,0
